"","Apis mellifera","Lasioglossum mahense","Hemipyrellia sp1 M_PL_127","Xylocopa caffra","Lygistorrhina sp1 M_PL_127","Megachile seychellensis","Unidentified sp1 M_PL_127","Cratopus aurostriatus","Eristalinus vicarians","Leptotes pirithous","Unidentified sp2 M_PL_127"
"Nephrosperma vanhoutteanum",32,24,0,0,2,2,0,0,0,0,1
"Nepenthes pervillei",8,0,9,0,1,0,0,0,1,1,0
"Erythroxylum sechellarum",8,4,0,0,0,0,2,0,0,0,0
"Psychotria pervillei",3,7,0,0,0,0,0,0,0,0,0
"Canthium bibracteatum",6,0,0,0,1,0,0,0,0,0,0
"Dillenia suffruticosa",1,0,0,6,0,0,0,0,0,0,0
"Paragenipa wrightii",7,0,0,0,0,0,0,0,0,0,0
"Chrysobalanus icaco",6,0,0,0,0,0,0,0,0,0,0
"Memecylon eleagni",6,0,0,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",0,0,0,0,0,0,0,1,0,0,0
