"","Loxigilla portoricensis ","Margarops fuscatus ","Columba squamosa ","Turdus plumbeus ","Vireo altiloquous ","Spindalis portoricensis ","Euphonia musica ","Tyrannus caudifasciatus ","Tyrannus dominicensis ","Molothrus bonariensis ","Myarchus antillarum ","Coereba flaveola ","Vireo latimeri "
"Guarea guidonia ",13,11,0,4,1,0,0,4,0,0,1,0,0
"Clusia rosea ",3,3,0,0,5,0,0,0,0,2,1,1,1
"Ocotea coriacea ",0,6,3,4,0,0,0,0,2,0,0,0,0
"Roystonea borinquena ",0,0,11,2,0,0,0,0,0,0,0,0,0
"Cupania americana ",6,0,0,4,0,0,0,0,2,0,0,0,0
"Cecropia schreberiana ",1,0,2,1,0,0,0,0,0,0,0,0,0
"Clusia gundlachi ",1,2,1,0,0,0,0,0,0,0,0,0,0
"Hyeronima clusioides ",0,0,0,0,0,3,0,0,0,0,0,0,0
"Ficus sp1 M_SD_005",1,1,0,0,0,0,0,0,0,0,0,0,0
"Margravia rectiflora ",0,1,0,1,0,0,0,0,0,0,0,0,0
"Persea americana ",0,1,0,0,0,1,0,0,0,0,0,0,0
"Phoradendron sp1 M_SD_005",0,0,0,0,0,0,2,0,0,0,0,0,0
"Alchornea latifolia ",1,0,0,0,0,0,0,0,0,0,0,0,0
"Anthurium scandens ",0,0,0,0,0,0,1,0,0,0,0,0,0
"Ardisia obovata ",0,0,0,0,0,1,0,0,0,0,0,0,0
"Bursera simaruba ",1,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysophyllum argenteum ",0,1,0,0,0,0,0,0,0,0,0,0,0
"Comocladia glabra ",1,0,0,0,0,0,0,0,0,0,0,0,0
"Dendropemon bicolor ",0,0,0,0,0,0,1,0,0,0,0,0,0
"Guapira fragrans ",0,1,0,0,0,0,0,0,0,0,0,0,0
"Petitia dominguensis ",0,0,1,0,0,0,0,0,0,0,0,0,0
"Syzigium malaccensis ",0,1,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_SD_005",1,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_SD_005",0,0,0,1,0,0,0,0,0,0,0,0,0
"Zanthoxylum martinicensis",0,1,0,0,0,0,0,0,0,0,0,0,0
